ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
a monthly budget,2,HYBRID_3_5,S7,trigrams,monthly budget,2,practicality_and_feasibility,1,budget,,0,0.0,False
biggest structural risk,2,HYBRID_3_5,S7,trigrams,biggest structural risk,3,practicality_and_feasibility,1,risk,,0,0.0,False
structural risk if,2,HYBRID_3_5,S7,trigrams,structural risk,2,practicality_and_feasibility,1,risk,,0,0.0,False
risk if i,2,HYBRID_3_5,S7,trigrams,risk i,2,practicality_and_feasibility,1,risk,,0,0.0,False
money boundaries caregiving,2,HYBRID_3_5,S7,trigrams,money boundaries caregiving,3,imagination_and_possibility,1,boundaries,,0,0.0,False
constraints and reduces,2,HYBRID_3_5,S7,trigrams,constraints reduces,2,practicality_and_feasibility,1,constraints,,0,0.0,False
marriage and timeline,2,HYBRID_3_5,S7,trigrams,marriage timeline,2,practicality_and_feasibility,1,timeline,marriage,1,0.5,False
boundary i want,2,HYBRID_3_5,S7,trigrams,boundary i want,3,imagination_and_possibility,1,boundary,,0,0.0,False
your main risk,2,HYBRID_3_5,S7,trigrams,main risk,2,practicality_and_feasibility,1,risk,,0,0.0,False
main risk is,2,HYBRID_3_5,S7,trigrams,main risk,2,practicality_and_feasibility,1,risk,,0,0.0,False
create a credible,2,HYBRID_3_5,S7,trigrams,create credible,2,truth_and_fact,1,credible,,0,0.0,False
a rare opportunity,3,HYBRID_SEMANTIC,S7,trigrams,rare opportunity,2,imagination_and_possibility,1,opportunity,,0,0.0,False
sunk cost momentum,2,HYBRID_SEMANTIC,S7,trigrams,sunk cost momentum,3,practicality_and_feasibility|temporal_dynamics,2,momentum|cost,,0,0.0,False
your risk checks,2,HYBRID_SEMANTIC,S7,trigrams,risk checks,2,practicality_and_feasibility,1,risk,,0,0.0,False
risk checks a,2,HYBRID_SEMANTIC,S7,trigrams,risk checks,2,practicality_and_feasibility,1,risk,,0,0.0,False
timeline money norms,2,HYBRID_SEMANTIC,S7,trigrams,timeline money norms,3,practicality_and_feasibility,1,timeline,,0,0.0,False
imagine our plan,2,HYBRID_SEMANTIC,S7,trigrams,imagine our plan,3,imagination_and_possibility,1,imagine,,0,0.0,False
the long term,2,HYBRID_SEMANTIC,S7,trigrams,long term,2,temporal_dynamics,1,long term,,0,0.0,False
hold a boundary,2,HYBRID_SEMANTIC,S7,trigrams,hold boundary,2,imagination_and_possibility,1,boundary,,0,0.0,False
unfair to assume,2,HYBRID_SEMANTIC,S7,trigrams,unfair assume,2,truth_and_fact,1,assume,,0,0.0,False
home base option,2,HYBRID_SEMANTIC,S7,trigrams,home base option,3,imagination_and_possibility,1,option,,0,0.0,False
base option until,2,HYBRID_SEMANTIC,S7,trigrams,base option until,3,imagination_and_possibility,1,option,,0,0.0,False
practical things matter,2,HYBRID_SEMANTIC,S7,trigrams,practical things matter,3,practicality_and_feasibility,1,practical,,0,0.0,False
complex care risk,2,HYBRID_SEMANTIC,S7,trigrams,complex care risk,3,practicality_and_feasibility,1,risk,,0,0.0,False
timeline she s,2,HYBRID_SEMANTIC,S7,trigrams,timeline she,2,practicality_and_feasibility,1,timeline,,0,0.0,False
isn t proof,2,HYBRID_SEMANTIC,S7,trigrams,isn proof,2,truth_and_fact,1,proof,,0,0.0,False
your age trajectory,2,HYBRID_SEMANTIC,S7,trigrams,age trajectory,2,temporal_dynamics,1,trajectory,,0,0.0,False
limits marriage timeline,2,HYBRID_SEMANTIC,S7,trigrams,limits marriage timeline,3,practicality_and_feasibility,1,timeline,marriage,1,0.3333333333333333,False
generate real evidence,2,HYBRID_SEMANTIC,S7,trigrams,generate real evidence,3,truth_and_fact,1,evidence,,0,0.0,False
catastrophic medical risk,2,HYBRID_SEMANTIC,S7,trigrams,catastrophic medical risk,3,practicality_and_feasibility,1,risk,medical,1,0.3333333333333333,False
