level,system,expression_group_layer,expression_group,expression_subgroup,ngram,total_count,row_occurrences,scenario_count,scenarios,matched_constraints,scenario_heavy_hits
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,the rev b schedule,2,1,1,S3,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,to defeat sunk cost,2,1,1,S7,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,with timeline and required,2,1,1,S1,practicality_and_feasibility;temporal_dynamics,0
quadgrams,AC15,cross_cutting,smoothing,main,don t merge finances,3,1,1,S7,,0
quadgrams,AC15,cross_cutting,smoothing,main,advice on both sides,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,smoothing,main,don t merge accounts,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,smoothing,main,merge accounts don t,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,smoothing,main,no merged finances keep,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,smoothing,main,not buy no merged,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,smoothing,main,property don t merge,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,smoothing,main,t merge accounts don,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,would make us wrong,6,1,1,S1,,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,contract doesn t allow,2,1,1,S1,,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,convention hasn t been,2,1,1,S5,,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,hasn t been confirmed,2,1,1,S5,truth_and_fact,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,is permissible and doesn,2,1,1,S1,,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,make us wrong a,2,1,1,S1,,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,make us wrong the,2,1,1,S1,,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,permissible and doesn t,2,1,1,S1,,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,the contract doesn t,2,1,1,S1,,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,the danger isn t,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,surfacing,confrontation,this convention hasn t,2,1,1,S5,,0
quadgrams,AC15,cross_cutting,surfacing,friction_exposed,fewest external blockers civitas,2,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15,cross_cutting,surfacing,hard_limit_refusal,can t guarantee geofence,2,1,1,S3,,0
quadgrams,AC15,cross_cutting,surfacing,hard_limit_refusal,can t leave region,2,1,1,S5,,0
quadgrams,AC15,cross_cutting,surfacing,hard_limit_refusal,pii can t leave,2,1,1,S5,,0
quadgrams,AC15,cross_cutting,surfacing,tension_exposure,conflicts with apm or,2,1,1,S5,,0
quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,data config portability transition,4,1,1,S1,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,config portability transition assistance,3,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,a phased notice to,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,a phased start and,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,documented formats transition assistance,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,formats transition assistance defined,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,in documented formats transition,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,phased notice to proceed,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,propose the staged plan,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,transition to a more,2,1,1,S3,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,one click mark outdated,4,1,1,S5,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,active superseded deprecated created_at,3,1,1,S5,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,click mark outdated supersede,3,1,1,S5,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,deprecated created_at last_confirmed_at confidence,3,1,1,S5,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,superseded deprecated created_at last_confirmed_at,3,1,1,S5,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,aging health plan partner,2,1,1,S7,,1
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,as decaying cited evidence,2,1,1,S5,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,fresh eyes escape hatch,2,1,1,S5,,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,fresh eyes mode so,2,1,1,S5,,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,is no longer the,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,kids family expectations aging,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,outdated don t use,2,1,1,S5,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,robustness_and_resilience,a more robust nav,2,1,1,S3,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,robustness_and_resilience,more robust nav mode,2,1,1,S3,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,robustness_and_resilience,to a more robust,2,1,1,S3,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,robustness_and_resilience,want to preserve leverage,2,1,1,S1,,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,a long term partner,3,1,1,S7,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,a week selection window,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,about years from now,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,early in the trial,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,from a long term,2,1,1,S7,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,market window without sacrificing,2,1,1,S3,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,month support horizon with,2,1,1,S1,,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,more predictable near term,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,my health changes later,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,predictable near term opex,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,short ttl vectors later,2,1,1,S5,,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,window without sacrificing the,2,1,1,S3,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,years from now what,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,truth,fact_vs_interpretation,claims are truthful and,2,1,1,S3,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,fact_vs_interpretation,inferred evidence_refs pr commit,2,1,1,S5,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,fact_vs_interpretation,the claims are truthful,2,1,1,S3,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,plain_statement,honest answer is you,2,1,1,S7,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,plain_statement,the honest answer is,2,1,1,S7,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,decision constraint convention confirmedfix,3,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,truth,verification,deprecated created_at last_confirmed_at confidence,3,1,1,S5,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,superseded deprecated created_at last_confirmed_at,3,1,1,S5,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,acceptance testing that includes,2,1,1,S1,,0
quadgrams,AC15,constraint_aligned,truth,verification,always show source date,2,1,1,S5,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,as decaying cited evidence,2,1,1,S5,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,b evidence index ei,2,1,1,S5,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,been confirmed in days,2,1,1,S5,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,confirm if you tell,2,1,1,S5,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,constraints conventions confirmed fixes,2,1,1,S5,practicality_and_feasibility;truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,created_at last_confirmed_at confidence user,2,1,1,S5,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,documented formats transition assistance,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,truth,verification,evidence_refs pr commit doc,2,1,1,S5,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,hasn t been confirmed,2,1,1,S5,truth_and_fact,0
quadgrams,AC15,constraint_aligned,truth,verification,in documented formats transition,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,cross_cutting,warning,main,and lock in risk,2,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15,cross_cutting,warning,main,auto approves low risk,2,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,cross_cutting,warning,main,choosing you seriously and,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,warning,main,serious mean to you,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,warning,main,the danger isn t,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,warning,main,to pursue this seriously,2,1,1,S7,,0
quadgrams,AC15P,cross_cutting,autonomy_sovereignty,multi_word_patterns,help you choose between,2,1,1,S3,,0
quadgrams,AC15P,cross_cutting,autonomy_sovereignty,single_word_markers,help you choose between,2,1,1,S3,,0
quadgrams,AC15P,cross_cutting,conditions,main,and b whether the,3,1,1,S3,,0
quadgrams,AC15P,cross_cutting,conditions,main,and yours and whether,3,1,1,S7,,0
quadgrams,AC15P,cross_cutting,conditions,main,b whether the mining,3,1,1,S3,,0
quadgrams,AC15P,cross_cutting,conditions,main,whether you ll stay,3,1,1,S7,,0
quadgrams,AC15P,cross_cutting,conditions,main,and whether marriage children,2,1,1,S7,,0
quadgrams,AC15P,cross_cutting,conditions,main,days sprints unless reaffirmed,2,1,1,S5,,0
quadgrams,AC15P,cross_cutting,conditions,main,depends on the architecture,2,1,1,S5,,0
quadgrams,AC15P,cross_cutting,conditions,main,n days sprints unless,2,1,1,S5,,0
quadgrams,AC15P,cross_cutting,conditions,main,sanity check whether the,2,1,1,S3,,0
quadgrams,AC15P,cross_cutting,conditions,main,should we depends on,2,1,1,S5,,0
quadgrams,AC15P,cross_cutting,conditions,main,whether marriage children are,2,1,1,S7,,0
quadgrams,AC15P,cross_cutting,conditions,main,whether you can implement,2,1,1,S3,practicality_and_feasibility,0
quadgrams,AC15P,cross_cutting,conditions,main,yours and whether children,2,1,1,S7,,0
quadgrams,AC15P,cross_cutting,hedging,multi_word_patterns,i would treat as,2,1,1,S3,,0
quadgrams,AC15P,cross_cutting,hedging,multi_word_patterns,that tends to favor,2,1,1,S1,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,may not be seeing,8,1,1,S7,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,it may be underestimated,7,1,1,S1,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,likely narrative if there,3,1,1,S1,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,balance usually lies toward,2,1,1,S3,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,be seeing you might,2,1,1,S7,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,how often you feel,2,1,1,S7,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,in short novagrid may,2,1,1,S1,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,likely caused it then,2,1,1,S7,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,makes continuity mostly about,2,1,1,S5,temporal_dynamics,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,often you feel calm,2,1,1,S7,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,tend to make continuity,2,1,1,S5,temporal_dynamics,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,that tends to favor,2,1,1,S1,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,the balance usually lies,2,1,1,S3,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,then the balance usually,2,1,1,S3,,0
quadgrams,AC15P,cross_cutting,hedging,single_word_markers,track how often you,2,1,1,S7,,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,exploration_within_bounds,draft accepted superseded deprecated,3,1,1,S5,temporal_dynamics,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,exploration_within_bounds,status draft accepted superseded,3,1,1,S5,,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,exploration_within_bounds,possible iteration it required,2,1,1,S1,imagination_and_possibility,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,exploration_within_bounds,possible paths symbols exist,2,1,1,S5,imagination_and_possibility,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,exploration_within_bounds,text status draft accepted,2,1,1,S5,,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,exploration_within_bounds,type text status draft,2,1,1,S5,,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,path_toward_feasibility,mining as paid pilot,2,1,1,S3,imagination_and_possibility,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,path_toward_feasibility,paid pilot limited availability,2,1,1,S3,imagination_and_possibility,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,path_toward_feasibility,path to start on,2,1,1,S1,,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,path_toward_feasibility,pilot la until rev,2,1,1,S3,imagination_and_possibility,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,tension_as_fuel,if neither is true,2,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,tension_as_fuel,table for either of,2,1,1,S7,,0
quadgrams,AC15P,constraint_aligned,imagination_and_possibility,tension_as_fuel,the table for either,2,1,1,S7,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,care is plan a,4,1,1,S7,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,can t delay start,3,1,1,S1,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,created_at last_validated_at repo branch,3,1,1,S5,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,exit plan cash logistics,3,1,1,S7,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,timing plans controller configs,3,1,1,S1,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,a launch definition that,2,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,a two track plan,2,1,1,S7,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,availability early access launch,2,1,1,S3,,1
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,bounded la eap launch,2,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,c gated launch partial,2,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,can t ship provenance,2,1,1,S5,truth_and_fact,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,configs plans logs documented,2,1,1,S1,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,eap launch this quarter,2,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,export of configs plans,2,1,1,S1,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,global launch messaging if,2,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,limited availability early access,4,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,mitigation is not bounded,3,1,1,S3,practicality_and_feasibility,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,always show used context,2,1,1,S5,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,bound on event rate,2,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,bounded la eap launch,2,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,bounded operating envelope site,2,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,constraint that steers everything,2,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,context with links dates,2,1,1,S5,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,decisions constraints verified outcomes,2,1,1,S5,practicality_and_feasibility;truth_and_fact,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,in a prohibited context,2,1,1,S3,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,paid pilot limited availability,2,1,1,S3,imagination_and_possibility,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,show used context with,2,1,1,S5,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,t delay start constraint,2,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,the week award constraint,2,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,used context with links,2,1,1,S5,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,waiver friction essential infrastructure,2,1,1,S1,practicality_and_feasibility,1
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,failure council budget chair,3,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,mitigation is not bounded,3,1,1,S3,practicality_and_feasibility,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,one failure council budget,3,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,adjustable cloud subscription costs,2,1,1,S1,,0
quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,and operating budgets are,2,1,1,S1,,0
