scenario,level,expression_group_layer,expression_group,expression_subgroup,row_count,sum_count,system_count,systems,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S5,trigrams,constraint_aligned,truth,verification,81,188,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.318898,0.328671
S5,trigrams,cross_cutting,warning,main,10,20,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.039370,0.034965
S7,quadgrams,cross_cutting,autonomy_sovereignty,single_word_markers,4,8,3,AC15;CONTROL;HYBRID_3_5,0.022727,0.020942
S7,quadgrams,cross_cutting,conditions,main,21,45,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.119318,0.117801
S7,quadgrams,cross_cutting,hedging,multi_word_patterns,3,6,1,AC15,0.017045,0.015707
S7,quadgrams,cross_cutting,hedging,single_word_markers,26,72,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.147727,0.188482
S7,quadgrams,constraint_aligned,imagination_and_possibility,exploration_within_bounds,3,6,1,HYBRID_SEMANTIC,0.017045,0.015707
S7,quadgrams,constraint_aligned,imagination_and_possibility,tension_as_fuel,5,10,3,AC15;AC15P;HYBRID_SEMANTIC,0.028409,0.026178
S7,quadgrams,constraint_aligned,practical_considerations_and_execution,action_and_execution,36,75,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.204545,0.196335
S7,quadgrams,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,1,2,1,AC15,0.005682,0.005236
S7,quadgrams,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,11,22,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.062500,0.057592
S7,quadgrams,cross_cutting,smoothing,main,8,17,1,AC15,0.045455,0.044503
S7,quadgrams,cross_cutting,surfacing,confrontation,14,29,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.079545,0.075916
S7,quadgrams,cross_cutting,surfacing,friction_exposed,3,6,2,CONTROL;HYBRID_3_5,0.017045,0.015707
S7,quadgrams,cross_cutting,surfacing,hard_limit_refusal,2,4,2,AC15P;HYBRID_3_5,0.011364,0.010471
S7,quadgrams,cross_cutting,surfacing,tension_exposure,2,4,2,CONTROL;HYBRID_SEMANTIC,0.011364,0.010471
S7,quadgrams,constraint_aligned,temporal_projection,change_and_rate,16,32,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.090909,0.083770
S7,quadgrams,constraint_aligned,temporal_projection,decay_and_currency,4,8,3,AC15;AC15P;HYBRID_SEMANTIC,0.022727,0.020942
S7,quadgrams,constraint_aligned,temporal_projection,time_horizons,16,34,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.090909,0.089005
S7,quadgrams,constraint_aligned,truth,plain_statement,4,8,2,AC15;AC15P,0.022727,0.020942
S7,quadgrams,constraint_aligned,truth,verification,6,12,2,HYBRID_3_5;HYBRID_SEMANTIC,0.034091,0.031414
S7,quadgrams,cross_cutting,warning,main,15,30,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.085227,0.078534
S7,trigrams,cross_cutting,autonomy_sovereignty,single_word_markers,6,12,3,AC15;CONTROL;HYBRID_3_5,0.026549,0.024896
S7,trigrams,cross_cutting,conditions,main,14,30,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.061947,0.062241
S7,trigrams,cross_cutting,hedging,multi_word_patterns,6,12,3,AC15;HYBRID_3_5;HYBRID_SEMANTIC,0.026549,0.024896
S7,trigrams,cross_cutting,hedging,single_word_markers,31,73,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.137168,0.151452
S7,trigrams,constraint_aligned,imagination_and_possibility,exploration_within_bounds,2,4,1,HYBRID_SEMANTIC,0.008850,0.008299
S7,trigrams,constraint_aligned,imagination_and_possibility,path_toward_feasibility,4,9,2,AC15;AC15P,0.017699,0.018672
S7,trigrams,constraint_aligned,imagination_and_possibility,tension_as_fuel,4,8,3,AC15;AC15P;HYBRID_SEMANTIC,0.017699,0.016598
S7,trigrams,constraint_aligned,practical_considerations_and_execution,action_and_execution,49,105,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.216814,0.217842
S7,trigrams,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,8,16,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.035398,0.033195
S7,trigrams,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,1,2,1,HYBRID_SEMANTIC,0.004425,0.004149
S7,trigrams,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,18,36,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.079646,0.074689
S7,trigrams,cross_cutting,smoothing,main,8,19,1,AC15,0.035398,0.039419
S7,trigrams,cross_cutting,surfacing,confrontation,11,24,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.048673,0.049793
S7,trigrams,cross_cutting,surfacing,friction_exposed,5,10,3,AC15P;CONTROL;HYBRID_3_5,0.022124,0.020747
S7,trigrams,cross_cutting,surfacing,hard_limit_refusal,2,4,2,AC15P;HYBRID_3_5,0.008850,0.008299
S7,trigrams,cross_cutting,surfacing,tension_exposure,5,10,2,CONTROL;HYBRID_SEMANTIC,0.022124,0.020747
S7,trigrams,constraint_aligned,temporal_projection,change_and_rate,12,25,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.053097,0.051867
S7,trigrams,constraint_aligned,temporal_projection,decay_and_currency,6,13,3,AC15;AC15P;HYBRID_3_5,0.026549,0.026971
S7,trigrams,constraint_aligned,temporal_projection,past_present_future,5,11,3,AC15;HYBRID_3_5;HYBRID_SEMANTIC,0.022124,0.022822
S7,trigrams,constraint_aligned,temporal_projection,robustness_and_resilience,1,2,1,AC15,0.004425,0.004149
S7,trigrams,constraint_aligned,temporal_projection,time_horizons,12,25,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.053097,0.051867
S7,trigrams,constraint_aligned,truth,plain_statement,5,10,3,AC15;AC15P;CONTROL,0.022124,0.020747
S7,trigrams,constraint_aligned,truth,verification,13,26,4,AC15;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.057522,0.053942
S7,trigrams,cross_cutting,warning,main,22,44,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.097345,0.091286
