scenario,level,system,expression_group,expression_group_layer,expression_subgroup,row_count,sum_count
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,14,29
S1,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,confrontation,2,8
S1,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,friction_exposed,1,2
S1,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,hard_limit_refusal,1,2
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,change_and_rate,8,18
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,past_present_future,1,3
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,robustness_and_resilience,3,6
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,time_horizons,7,16
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,fact_vs_interpretation,2,4
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,13,33
S1,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,main,5,10
S3,trigrams,AC15,autonomy_sovereignty,cross_cutting,single_word_markers,1,2
S3,trigrams,AC15,conditions,cross_cutting,main,1,2
S3,trigrams,AC15,hedging,cross_cutting,single_word_markers,3,6
S3,trigrams,AC15,imagination_and_possibility,constraint_aligned,exploration_within_bounds,2,4
S3,trigrams,AC15,imagination_and_possibility,constraint_aligned,path_toward_feasibility,2,4
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,13,26
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,7,14
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,6,13
S3,trigrams,AC15,surfacing,cross_cutting,confrontation,1,2
S3,trigrams,AC15,surfacing,cross_cutting,hard_limit_refusal,1,2
S3,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,2,4
S3,trigrams,AC15,temporal_projection,constraint_aligned,decay_and_currency,1,2
S3,trigrams,AC15,temporal_projection,constraint_aligned,robustness_and_resilience,3,6
S3,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,4,8
S3,trigrams,AC15,truth,constraint_aligned,fact_vs_interpretation,1,2
S3,trigrams,AC15,truth,constraint_aligned,uncertainty_marking,1,2
S3,trigrams,AC15,truth,constraint_aligned,verification,4,8
S3,trigrams,AC15P,autonomy_sovereignty,cross_cutting,multi_word_patterns,1,2
S3,trigrams,AC15P,autonomy_sovereignty,cross_cutting,single_word_markers,1,2
S3,trigrams,AC15P,conditions,cross_cutting,main,3,7
S3,trigrams,AC15P,hedging,cross_cutting,multi_word_patterns,1,2
S3,trigrams,AC15P,hedging,cross_cutting,single_word_markers,5,11
S3,trigrams,AC15P,imagination_and_possibility,constraint_aligned,path_toward_feasibility,5,10
S3,trigrams,AC15P,imagination_and_possibility,constraint_aligned,tension_as_fuel,3,6
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,16,34
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,16,34
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,7,14
S3,trigrams,AC15P,smoothing,cross_cutting,main,3,6
S3,trigrams,AC15P,surfacing,cross_cutting,confrontation,1,2
S3,trigrams,AC15P,surfacing,cross_cutting,friction_exposed,1,2
S3,trigrams,AC15P,surfacing,cross_cutting,hard_limit_refusal,5,10
S3,trigrams,AC15P,temporal_projection,constraint_aligned,change_and_rate,7,15
S3,trigrams,AC15P,temporal_projection,constraint_aligned,robustness_and_resilience,1,2
S3,trigrams,AC15P,temporal_projection,constraint_aligned,time_horizons,7,18
S3,trigrams,AC15P,truth,constraint_aligned,verification,4,8
S3,trigrams,AC15P,warning,cross_cutting,main,4,10
S3,trigrams,CONTROL,autonomy_sovereignty,cross_cutting,single_word_markers,4,13
S3,trigrams,CONTROL,conditions,cross_cutting,main,4,8
S3,trigrams,CONTROL,imagination_and_possibility,constraint_aligned,tension_as_fuel,1,2
S3,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,8,16
S3,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,7,18
S3,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,2,4
S3,trigrams,CONTROL,surfacing,cross_cutting,friction_exposed,1,2
S3,trigrams,CONTROL,surfacing,cross_cutting,hard_limit_refusal,5,12
S3,trigrams,CONTROL,surfacing,cross_cutting,tension_exposure,1,2
S3,trigrams,CONTROL,temporal_projection,constraint_aligned,change_and_rate,4,8
S3,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,1,2
S3,trigrams,CONTROL,truth,constraint_aligned,fact_vs_interpretation,1,2
S3,trigrams,CONTROL,truth,constraint_aligned,verification,1,2
S3,trigrams,CONTROL,warning,cross_cutting,main,6,12
S3,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,single_word_markers,8,34
S3,trigrams,HYBRID_3_5,hedging,cross_cutting,single_word_markers,2,4
S3,trigrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,path_toward_feasibility,1,2
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,16,34
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,8,17
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,1,2
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,6,12
S3,trigrams,HYBRID_3_5,surfacing,cross_cutting,confrontation,1,2
S3,trigrams,HYBRID_3_5,surfacing,cross_cutting,friction_exposed,4,9
S3,trigrams,HYBRID_3_5,surfacing,cross_cutting,hard_limit_refusal,1,2
S3,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,change_and_rate,2,4
S3,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,robustness_and_resilience,1,2
S3,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,time_horizons,6,14
S3,trigrams,HYBRID_3_5,truth,constraint_aligned,fact_vs_interpretation,1,2
S3,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,6,12
S3,trigrams,HYBRID_3_5,warning,cross_cutting,main,4,11
S3,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,single_word_markers,1,2
S3,trigrams,HYBRID_SEMANTIC,conditions,cross_cutting,main,2,4
S3,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,single_word_markers,1,2
S3,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,path_toward_feasibility,16,43
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,action_and_execution,27,62
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,5,10
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,5,10
S3,trigrams,HYBRID_SEMANTIC,smoothing,cross_cutting,main,1,2
S3,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,confrontation,2,6
S3,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,friction_exposed,1,2
S3,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,hard_limit_refusal,2,4
S3,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,change_and_rate,6,14
S3,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,past_present_future,1,2
S3,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,time_horizons,4,10
S3,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,1,2
S3,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,main,4,9
S5,trigrams,AC15,autonomy_sovereignty,cross_cutting,single_word_markers,1,2
S5,trigrams,AC15,conditions,cross_cutting,main,1,2
S5,trigrams,AC15,imagination_and_possibility,constraint_aligned,exploration_within_bounds,1,2
S5,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,10,24
S5,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,13,28
S5,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,1,2
S5,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,1,2
S5,trigrams,AC15,surfacing,cross_cutting,confrontation,4,8
S5,trigrams,AC15,surfacing,cross_cutting,friction_exposed,1,2
S5,trigrams,AC15,surfacing,cross_cutting,tension_exposure,1,2
S5,trigrams,AC15,temporal_projection,constraint_aligned,decay_and_currency,11,26
S5,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,2,4
S5,trigrams,AC15,truth,constraint_aligned,fact_vs_interpretation,1,2
S5,trigrams,AC15,truth,constraint_aligned,verification,18,41
S5,trigrams,AC15,warning,cross_cutting,main,2,4
S5,trigrams,AC15P,conditions,cross_cutting,main,4,8
S5,trigrams,AC15P,hedging,cross_cutting,single_word_markers,5,10
S5,trigrams,AC15P,imagination_and_possibility,constraint_aligned,exploration_within_bounds,5,13
S5,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,3,7
S5,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,6,13
S5,trigrams,AC15P,surfacing,cross_cutting,confrontation,2,4
S5,trigrams,AC15P,surfacing,cross_cutting,friction_exposed,3,8
S5,trigrams,AC15P,temporal_projection,constraint_aligned,decay_and_currency,11,29
S5,trigrams,AC15P,temporal_projection,constraint_aligned,robustness_and_resilience,7,22
S5,trigrams,AC15P,temporal_projection,constraint_aligned,time_horizons,4,8
S5,trigrams,AC15P,truth,constraint_aligned,fact_vs_interpretation,1,2
S5,trigrams,AC15P,truth,constraint_aligned,verification,20,51
S5,trigrams,AC15P,warning,cross_cutting,main,3,6
S5,trigrams,CONTROL,autonomy_sovereignty,cross_cutting,single_word_markers,1,2
S5,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,5,10
S5,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,2,4
S5,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,8,26
S5,trigrams,CONTROL,surfacing,cross_cutting,confrontation,1,3
S5,trigrams,CONTROL,surfacing,cross_cutting,friction_exposed,4,9
S5,trigrams,CONTROL,surfacing,cross_cutting,tension_exposure,5,11
S5,trigrams,CONTROL,temporal_projection,constraint_aligned,change_and_rate,1,2
S5,trigrams,CONTROL,temporal_projection,constraint_aligned,decay_and_currency,6,12
S5,trigrams,CONTROL,temporal_projection,constraint_aligned,robustness_and_resilience,2,4
S5,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,1,2
S5,trigrams,CONTROL,truth,constraint_aligned,verification,17,38
S5,trigrams,HYBRID_3_5,conditions,cross_cutting,main,2,4
S5,trigrams,HYBRID_3_5,hedging,cross_cutting,multi_word_patterns,1,2
S5,trigrams,HYBRID_3_5,hedging,cross_cutting,single_word_markers,7,14
S5,trigrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,exploration_within_bounds,1,2
S5,trigrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,speculative_boundary_marking,3,7
S5,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,3,6
S5,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,2,4
S5,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,decay_and_currency,4,8
S5,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,robustness_and_resilience,2,4
S5,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,time_horizons,3,6
S5,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,11,26
S5,trigrams,HYBRID_3_5,warning,cross_cutting,main,2,4
S5,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,multi_word_patterns,1,2
S5,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,single_word_markers,6,12
S5,trigrams,HYBRID_SEMANTIC,conditions,cross_cutting,main,3,6
S5,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,multi_word_patterns,1,2
S5,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,single_word_markers,1,2
S5,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,exploration_within_bounds,2,4
S5,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,speculative_boundary_marking,1,2
S5,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,action_and_execution,1,2
S5,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,6,12
S5,trigrams,HYBRID_SEMANTIC,smoothing,cross_cutting,main,3,6
S5,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,confrontation,3,6
S5,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,hard_limit_refusal,1,2
S5,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,decay_and_currency,8,18
S5,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,robustness_and_resilience,1,2
S5,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,fact_vs_interpretation,2,4
S5,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,15,32
S5,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,main,3,6
S7,trigrams,AC15,autonomy_sovereignty,cross_cutting,single_word_markers,2,4
S7,trigrams,AC15,conditions,cross_cutting,main,2,4
S7,trigrams,AC15,hedging,cross_cutting,multi_word_patterns,4,8
S7,trigrams,AC15,hedging,cross_cutting,single_word_markers,6,12
S7,trigrams,AC15,imagination_and_possibility,constraint_aligned,path_toward_feasibility,3,7
S7,trigrams,AC15,imagination_and_possibility,constraint_aligned,tension_as_fuel,1,2
S7,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,13,27
S7,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,1,2
S7,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,3,6
S7,trigrams,AC15,smoothing,cross_cutting,main,8,19
S7,trigrams,AC15,surfacing,cross_cutting,confrontation,2,4
S7,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,2,4
S7,trigrams,AC15,temporal_projection,constraint_aligned,decay_and_currency,3,7
S7,trigrams,AC15,temporal_projection,constraint_aligned,past_present_future,3,7
S7,trigrams,AC15,temporal_projection,constraint_aligned,robustness_and_resilience,1,2
S7,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,1,2
S7,trigrams,AC15,truth,constraint_aligned,plain_statement,1,2
S7,trigrams,AC15,truth,constraint_aligned,verification,1,2
S7,trigrams,AC15,warning,cross_cutting,main,3,6
S7,trigrams,AC15P,conditions,cross_cutting,main,2,5
S7,trigrams,AC15P,hedging,cross_cutting,single_word_markers,9,18
S7,trigrams,AC15P,imagination_and_possibility,constraint_aligned,path_toward_feasibility,1,2
S7,trigrams,AC15P,imagination_and_possibility,constraint_aligned,tension_as_fuel,2,4
S7,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,18,41
S7,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,4,8
S7,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,4,8
S7,trigrams,AC15P,surfacing,cross_cutting,confrontation,2,4
S7,trigrams,AC15P,surfacing,cross_cutting,friction_exposed,1,2
S7,trigrams,AC15P,surfacing,cross_cutting,hard_limit_refusal,1,2
S7,trigrams,AC15P,temporal_projection,constraint_aligned,change_and_rate,4,8
S7,trigrams,AC15P,temporal_projection,constraint_aligned,decay_and_currency,2,4
S7,trigrams,AC15P,temporal_projection,constraint_aligned,time_horizons,5,10
S7,trigrams,AC15P,truth,constraint_aligned,plain_statement,3,6
S7,trigrams,AC15P,warning,cross_cutting,main,3,6
S7,trigrams,CONTROL,autonomy_sovereignty,cross_cutting,single_word_markers,1,2
S7,trigrams,CONTROL,conditions,cross_cutting,main,2,5
S7,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,4,8
S7,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,5,10
S7,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,1,2
S7,trigrams,CONTROL,surfacing,cross_cutting,confrontation,2,5
S7,trigrams,CONTROL,surfacing,cross_cutting,friction_exposed,1,2
S7,trigrams,CONTROL,surfacing,cross_cutting,tension_exposure,1,2
S7,trigrams,CONTROL,temporal_projection,constraint_aligned,change_and_rate,4,9
S7,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,1,2
S7,trigrams,CONTROL,truth,constraint_aligned,plain_statement,1,2
S7,trigrams,CONTROL,truth,constraint_aligned,verification,3,6
S7,trigrams,CONTROL,warning,cross_cutting,main,2,4
S7,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,single_word_markers,3,6
S7,trigrams,HYBRID_3_5,conditions,cross_cutting,main,2,4
S7,trigrams,HYBRID_3_5,hedging,cross_cutting,multi_word_patterns,1,2
S7,trigrams,HYBRID_3_5,hedging,cross_cutting,single_word_markers,8,20
S7,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,6,13
S7,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,2,4
S7,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,4,8
S7,trigrams,HYBRID_3_5,surfacing,cross_cutting,friction_exposed,3,6
S7,trigrams,HYBRID_3_5,surfacing,cross_cutting,hard_limit_refusal,1,2
S7,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,change_and_rate,1,2
S7,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,decay_and_currency,1,2
S7,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,past_present_future,1,2
S7,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,time_horizons,3,7
S7,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,2,4
S7,trigrams,HYBRID_3_5,warning,cross_cutting,main,7,14
S7,trigrams,HYBRID_SEMANTIC,conditions,cross_cutting,main,6,12
S7,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,multi_word_patterns,1,2
S7,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,single_word_markers,4,15
S7,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,exploration_within_bounds,2,4
S7,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,tension_as_fuel,1,2
S7,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,action_and_execution,7,14
S7,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,1,2
S7,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,1,2
S7,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,6,12
S7,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,confrontation,5,11
S7,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,tension_exposure,4,8
S7,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,change_and_rate,1,2
S7,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,past_present_future,1,2
S7,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,time_horizons,2,4
S7,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,7,14
S7,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,main,7,14
S1,quadgrams,AC15,hedging,cross_cutting,single_word_markers,1,2
S1,quadgrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,5,10
S1,quadgrams,AC15,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,1,2
S1,quadgrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,9,19
S1,quadgrams,AC15,surfacing,cross_cutting,confrontation,7,18
S1,quadgrams,AC15,surfacing,cross_cutting,friction_exposed,1,2
S1,quadgrams,AC15,temporal_projection,constraint_aligned,change_and_rate,8,19
S1,quadgrams,AC15,temporal_projection,constraint_aligned,robustness_and_resilience,1,2
S1,quadgrams,AC15,temporal_projection,constraint_aligned,time_horizons,4,8
S1,quadgrams,AC15,truth,constraint_aligned,verification,4,8
S1,quadgrams,AC15,warning,cross_cutting,main,1,2
S1,quadgrams,AC15P,hedging,cross_cutting,multi_word_patterns,1,2
S1,quadgrams,AC15P,hedging,cross_cutting,single_word_markers,4,14
S1,quadgrams,AC15P,imagination_and_possibility,constraint_aligned,exploration_within_bounds,1,2
S1,quadgrams,AC15P,imagination_and_possibility,constraint_aligned,path_toward_feasibility,1,2
S1,quadgrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,10,22
S1,quadgrams,AC15P,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,2,4
S1,quadgrams,AC15P,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,1,2
S1,quadgrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,15,32
S1,quadgrams,AC15P,surfacing,cross_cutting,friction_exposed,1,2
S1,quadgrams,AC15P,surfacing,cross_cutting,hard_limit_refusal,2,5
S1,quadgrams,AC15P,temporal_projection,constraint_aligned,change_and_rate,4,11
S1,quadgrams,AC15P,temporal_projection,constraint_aligned,decay_and_currency,3,6
S1,quadgrams,AC15P,temporal_projection,constraint_aligned,past_present_future,1,2
