scenario,level,system,expression_group,expression_group_layer,ngram,count,matched_constraints,constraint_hit_count,scenario_heavy
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,m cost predictability,4,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,o m cost,4,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,a staged rollout,3,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,as built documentation,3,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,staged rollout plan,3,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,as budgets tighten,2,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,constraints dot it,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,delay start assumption,2,truth_and_fact,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,exception path practical,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,incident rca timelines,2,,0,False
S1,trigrams,CONTROL,surfacing,cross_cutting,services isn t,4,,0,False
S1,trigrams,CONTROL,truth,constraint_aligned,export test as,3,,0,False
S1,trigrams,CONTROL,truth,constraint_aligned,review uncertain outcome,2,truth_and_fact,1,False
S1,trigrams,CONTROL,truth,constraint_aligned,week review uncertain,2,truth_and_fact,1,False
S1,trigrams,CONTROL,conditions,cross_cutting,recommendation unless novagrid,3,,0,False
S1,trigrams,CONTROL,conditions,cross_cutting,now depends on,2,,0,False
S1,trigrams,CONTROL,warning,cross_cutting,and escalation risk,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,warning,cross_cutting,approval risk that,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,warning,cross_cutting,essential infrastructure risk,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,warning,cross_cutting,governance risk architecture,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,warning,cross_cutting,long term risk,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,CONTROL,warning,cross_cutting,risk while meeting,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,transition assistance rates,5,temporal_dynamics,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,operating cost stability,4,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,data export transition,3,temporal_dynamics;truth_and_fact,2,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,pre priced transition,3,temporal_dynamics,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,and budget stability,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,cost stability and,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,cost stability civitas,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,export transition assistance,2,temporal_dynamics,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,less long horizon,2,,0,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,lifecycle cost stability,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,operating cost stability,4,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,plans config logs,3,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,timing plans config,3,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,and budget stability,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,annual cloud cost,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,approval friction and,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,controls timeline fee,2,practicality_and_feasibility;temporal_dynamics,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,cost stability and,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,cost stability civitas,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,costs while still,2,,0,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,isn t hostage,4,,0,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,exit isn t,3,,0,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,a non negotiable,2,,0,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,approval friction and,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,hard contract terms,2,,0,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,minor goes wrong,2,,0,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,the conflicting inputs,2,,0,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,and narrative risk,3,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,at risk due,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,narrative risk even,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,risk and narrative,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,risk dot preference,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,the two risks,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,added integration testing,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,documented formats include,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,documented formats sample,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,escalation stress test,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,exportable in documented,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,integration testing complexity,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,interface access documented,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,long horizon evidence,2,truth_and_fact,1,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,models multi source,2,truth_and_fact,1,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,multi source availability,2,truth_and_fact,1,False
S1,trigrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,waivers are possible,2,imagination_and_possibility,1,False
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,council defensible choice,2,,0,False
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,defensible choice if,2,,0,False
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,the modular choice,2,,0,False
S1,trigrams,HYBRID_3_5,conditions,cross_cutting,unless novagrid s,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,to ask verify,9,truth_and_fact,1,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,acceptance tested time,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,and acceptance tested,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,and less evidence,2,truth_and_fact,1,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,ask verify documented,2,truth_and_fact,1,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,audit trail degraded,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,documented formats exit,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,documented formats priced,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,facts you provided,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,given your facts,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,s clearly wrong,5,,0,False
S1,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,clearly wrong you,3,,0,False
S1,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,certainty approval friction,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,civitas cannot meet,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,early maintenance reduction,4,,0,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,a phased rollout,3,temporal_dynamics,1,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,exit and transition,3,temporal_dynamics,1,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,future lock in,3,temporal_dynamics,1,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,a later phase,2,temporal_dynamics,1,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,accountability and early,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,corridor prove stability,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,delivered early a,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,early delivery of,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,exposure operational maturity,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,a phased rollout,3,temporal_dynamics,1,False
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,implement detours overrides,3,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,plans logs and,3,,0,False
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,year cost exposure,3,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,adding cost time,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,bound or fixed,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,buffer before the,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,certainty approval friction,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,constrained contractually novagrid,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,cost exposure operational,2,practicality_and_feasibility,2,False
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,conditional alternative novagrid,2,imagination_and_possibility,1,False
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,phased rollout pilot,2,imagination_and_possibility;temporal_dynamics,2,False
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,pilot corridor first,2,imagination_and_possibility,1,False
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,pilot corridor prove,2,imagination_and_possibility,1,False
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,pilot corridor with,2,imagination_and_possibility,1,False
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,pilot phased rollout,2,imagination_and_possibility;temporal_dynamics,2,False
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,rollout pilot corridor,2,imagination_and_possibility,1,False
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,viable alternative only,2,imagination_and_possibility,1,False
S1,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,and continuity risks,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,chain risk than,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,continuity risks and,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,real schedule threat,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,schedule threat modular,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,appearing to pick,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,reasons to choose,2,,0,False
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,and penalty schedule,3,practicality_and_feasibility,1,False
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,a clearly bounded,2,,0,False
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,a quarter launch,2,,0,False
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,a revised rollout,2,,0,False
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,bound the failure,2,,0,False
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,clearly bounded operating,2,,0,False
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,constrained launch parallel,2,practicality_and_feasibility,1,False
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,constrained launch path,2,practicality_and_feasibility,1,False
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,controls software constraints,2,practicality_and_feasibility,1,False
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,cost of disruption,2,practicality_and_feasibility;temporal_dynamics,2,False
S3,trigrams,AC15,imagination_and_possibility,constraint_aligned,prototype validated evt,2,imagination_and_possibility,1,False
S3,trigrams,AC15,imagination_and_possibility,constraint_aligned,shielding prototype validated,2,imagination_and_possibility,1,False
S3,trigrams,AC15,truth,constraint_aligned,claims are truthful,2,truth_and_fact,1,False
S3,trigrams,AC15,truth,constraint_aligned,nav uncertainty and,2,truth_and_fact,1,False
S3,trigrams,AC15,truth,constraint_aligned,prototype validated evt,2,imagination_and_possibility,1,False
S3,trigrams,AC15,truth,constraint_aligned,shielding prototype validated,2,imagination_and_possibility,1,False
S3,trigrams,AC15,truth,constraint_aligned,validated evt dvt,2,,0,False
S3,trigrams,AC15,truth,constraint_aligned,verification bench emi,2,truth_and_fact,1,False
S3,trigrams,AC15,temporal_projection,constraint_aligned,a more robust,2,temporal_dynamics,1,False
S3,trigrams,AC15,temporal_projection,constraint_aligned,detect early enough,2,,0,False
S3,trigrams,AC15,temporal_projection,constraint_aligned,if zones shift,2,temporal_dynamics,1,False
S3,trigrams,AC15,temporal_projection,constraint_aligned,market window without,2,temporal_dynamics,1,False
S3,trigrams,AC15,temporal_projection,constraint_aligned,more robust nav,2,temporal_dynamics,1,False
S3,trigrams,AC15,temporal_projection,constraint_aligned,no longer the,2,,0,False
S3,trigrams,AC15,temporal_projection,constraint_aligned,robust nav mode,2,temporal_dynamics,1,False
S3,trigrams,AC15,temporal_projection,constraint_aligned,sla commissioning phase,2,temporal_dynamics,1,False
S3,trigrams,AC15,temporal_projection,constraint_aligned,the near term,2,temporal_dynamics,1,False
S3,trigrams,AC15,temporal_projection,constraint_aligned,window without sacrificing,2,temporal_dynamics,1,False
S3,trigrams,AC15,autonomy_sovereignty,cross_cutting,a binary choice,2,,0,False
S3,trigrams,AC15,surfacing,cross_cutting,doesn t make,2,,0,False
S3,trigrams,AC15,surfacing,cross_cutting,won t amend,2,,0,False
S3,trigrams,AC15,hedging,cross_cutting,re statistically likely,2,,0,False
S3,trigrams,AC15,hedging,cross_cutting,statistically likely to,2,,0,False
S3,trigrams,AC15,hedging,cross_cutting,these become likely,2,,0,False
S3,trigrams,AC15,conditions,cross_cutting,unless downtime is,2,,0,False
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,la eap launch,4,,0,False
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,limited availability early,4,,0,False
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,a gated limited,2,,0,False
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,a global launch,2,,0,False
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,a launch definition,2,,0,False
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,a prohibited context,2,,0,False
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,an unbounded mitigation,2,practicality_and_feasibility,1,False
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,as limited availability,2,,0,False
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,bound on event,2,,0,False
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,bounded commercial launch,2,,0,False
S3,trigrams,AC15P,temporal_projection,constraint_aligned,availability early access,4,,0,False
S3,trigrams,AC15P,temporal_projection,constraint_aligned,limited availability early,4,,0,False
S3,trigrams,AC15P,temporal_projection,constraint_aligned,a qualification phase,3,temporal_dynamics,1,False
S3,trigrams,AC15P,temporal_projection,constraint_aligned,early failure tax,2,,0,False
S3,trigrams,AC15P,temporal_projection,constraint_aligned,free qualification phase,2,temporal_dynamics,1,False
S3,trigrams,AC15P,temporal_projection,constraint_aligned,in shifting emi,2,temporal_dynamics,1,False
S3,trigrams,AC15P,temporal_projection,constraint_aligned,may shift so,2,temporal_dynamics,1,False
S3,trigrams,AC15P,temporal_projection,constraint_aligned,phase i can,2,temporal_dynamics,1,False
S3,trigrams,AC15P,temporal_projection,constraint_aligned,qualification phase i,2,temporal_dynamics,1,False
S3,trigrams,AC15P,temporal_projection,constraint_aligned,refuse phasing exclusions,2,,0,False
S3,trigrams,AC15P,warning,cross_cutting,a refinance trap,3,,0,False
S3,trigrams,AC15P,warning,cross_cutting,residual risk statement,3,practicality_and_feasibility,1,False
S3,trigrams,AC15P,warning,cross_cutting,refinance trap if,2,,0,False
S3,trigrams,AC15P,warning,cross_cutting,risk if early,2,practicality_and_feasibility,1,False
S3,trigrams,AC15P,conditions,cross_cutting,b whether the,3,,0,False
S3,trigrams,AC15P,conditions,cross_cutting,check whether the,2,,0,False
S3,trigrams,AC15P,conditions,cross_cutting,contingent on rev,2,,0,False
S3,trigrams,AC15P,hedging,cross_cutting,how often do,3,,0,False
S3,trigrams,AC15P,hedging,cross_cutting,balance usually lies,2,,0,False
S3,trigrams,AC15P,hedging,cross_cutting,i would treat,2,,0,False
