scenario,level,system,expression_group,expression_group_layer,row_count,sum_count
S7,trigrams,AC15,smoothing,cross_cutting,8,19
S7,trigrams,AC15,surfacing,cross_cutting,2,4
S7,trigrams,AC15,temporal_projection,constraint_aligned,10,22
S7,trigrams,AC15,truth,constraint_aligned,2,4
S7,trigrams,AC15,warning,cross_cutting,3,6
S7,trigrams,AC15P,conditions,cross_cutting,2,5
S7,trigrams,AC15P,hedging,cross_cutting,9,18
S7,trigrams,AC15P,imagination_and_possibility,constraint_aligned,3,6
S7,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,25,55
S7,trigrams,AC15P,surfacing,cross_cutting,4,8
S7,trigrams,AC15P,temporal_projection,constraint_aligned,11,22
S7,trigrams,AC15P,truth,constraint_aligned,3,6
S7,trigrams,AC15P,warning,cross_cutting,3,6
S7,trigrams,CONTROL,autonomy_sovereignty,cross_cutting,1,2
S7,trigrams,CONTROL,conditions,cross_cutting,2,5
S7,trigrams,CONTROL,hedging,cross_cutting,4,8
S7,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,6,12
S7,trigrams,CONTROL,surfacing,cross_cutting,4,9
S7,trigrams,CONTROL,temporal_projection,constraint_aligned,5,11
S7,trigrams,CONTROL,truth,constraint_aligned,4,8
S7,trigrams,CONTROL,warning,cross_cutting,2,4
S7,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,3,6
S7,trigrams,HYBRID_3_5,conditions,cross_cutting,2,4
S7,trigrams,HYBRID_3_5,hedging,cross_cutting,8,20
S7,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,12,25
S7,trigrams,HYBRID_3_5,surfacing,cross_cutting,4,8
S7,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,6,13
S7,trigrams,HYBRID_3_5,truth,constraint_aligned,2,4
S7,trigrams,HYBRID_3_5,warning,cross_cutting,7,14
S7,trigrams,HYBRID_SEMANTIC,conditions,cross_cutting,6,12
S7,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,4,15
S7,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,3,6
S7,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,15,30
S7,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,9,19
S7,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,4,8
S7,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,7,14
S7,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,7,14
S1,quadgrams,AC15,hedging,cross_cutting,1,2
S1,quadgrams,AC15,practical_considerations_and_execution,constraint_aligned,15,31
S1,quadgrams,AC15,surfacing,cross_cutting,8,20
S1,quadgrams,AC15,temporal_projection,constraint_aligned,13,29
S1,quadgrams,AC15,truth,constraint_aligned,4,8
S1,quadgrams,AC15,warning,cross_cutting,1,2
S1,quadgrams,AC15P,hedging,cross_cutting,4,14
S1,quadgrams,AC15P,imagination_and_possibility,constraint_aligned,2,4
S1,quadgrams,AC15P,practical_considerations_and_execution,constraint_aligned,27,58
S1,quadgrams,AC15P,surfacing,cross_cutting,3,7
S1,quadgrams,AC15P,temporal_projection,constraint_aligned,10,24
S1,quadgrams,AC15P,truth,constraint_aligned,5,10
S1,quadgrams,AC15P,warning,cross_cutting,5,10
S1,quadgrams,CONTROL,conditions,cross_cutting,2,5
S1,quadgrams,CONTROL,hedging,cross_cutting,10,29
S1,quadgrams,CONTROL,practical_considerations_and_execution,constraint_aligned,13,28
S1,quadgrams,CONTROL,surfacing,cross_cutting,1,4
S1,quadgrams,CONTROL,temporal_projection,constraint_aligned,12,27
S1,quadgrams,CONTROL,truth,constraint_aligned,3,6
S1,quadgrams,CONTROL,warning,cross_cutting,2,4
S1,quadgrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,1,2
S1,quadgrams,HYBRID_3_5,conditions,cross_cutting,1,2
S1,quadgrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,16,35
S1,quadgrams,HYBRID_3_5,surfacing,cross_cutting,8,21
S1,quadgrams,HYBRID_3_5,temporal_projection,constraint_aligned,10,22
S1,quadgrams,HYBRID_3_5,truth,constraint_aligned,15,30
S1,quadgrams,HYBRID_3_5,warning,cross_cutting,6,12
S1,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,1,2
S1,quadgrams,HYBRID_SEMANTIC,conditions,cross_cutting,1,2
S1,quadgrams,HYBRID_SEMANTIC,hedging,cross_cutting,1,2
S1,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,8,16
S1,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,26,54
S1,quadgrams,HYBRID_SEMANTIC,surfacing,cross_cutting,2,5
S1,quadgrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,21,48
S1,quadgrams,HYBRID_SEMANTIC,truth,constraint_aligned,15,30
S1,quadgrams,HYBRID_SEMANTIC,warning,cross_cutting,4,8
S3,quadgrams,AC15,hedging,cross_cutting,3,6
S3,quadgrams,AC15,imagination_and_possibility,constraint_aligned,2,4
S3,quadgrams,AC15,practical_considerations_and_execution,constraint_aligned,16,32
S3,quadgrams,AC15,surfacing,cross_cutting,1,2
S3,quadgrams,AC15,temporal_projection,constraint_aligned,7,14
S3,quadgrams,AC15,truth,constraint_aligned,4,8
S3,quadgrams,AC15P,autonomy_sovereignty,cross_cutting,1,2
S3,quadgrams,AC15P,conditions,cross_cutting,4,10
S3,quadgrams,AC15P,hedging,cross_cutting,5,10
S3,quadgrams,AC15P,imagination_and_possibility,constraint_aligned,4,8
S3,quadgrams,AC15P,practical_considerations_and_execution,constraint_aligned,17,37
S3,quadgrams,AC15P,smoothing,cross_cutting,3,6
S3,quadgrams,AC15P,surfacing,cross_cutting,5,10
S3,quadgrams,AC15P,temporal_projection,constraint_aligned,9,20
S3,quadgrams,AC15P,truth,constraint_aligned,4,8
S3,quadgrams,CONTROL,autonomy_sovereignty,cross_cutting,3,9
S3,quadgrams,CONTROL,conditions,cross_cutting,4,8
S3,quadgrams,CONTROL,hedging,cross_cutting,1,2
S3,quadgrams,CONTROL,imagination_and_possibility,constraint_aligned,1,2
S3,quadgrams,CONTROL,practical_considerations_and_execution,constraint_aligned,13,27
S3,quadgrams,CONTROL,surfacing,cross_cutting,6,14
S3,quadgrams,CONTROL,temporal_projection,constraint_aligned,4,8
S3,quadgrams,CONTROL,truth,constraint_aligned,4,8
S3,quadgrams,CONTROL,warning,cross_cutting,4,8
S3,quadgrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,8,27
S3,quadgrams,HYBRID_3_5,hedging,cross_cutting,2,4
S3,quadgrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,2,4
S3,quadgrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,22,47
S3,quadgrams,HYBRID_3_5,surfacing,cross_cutting,1,2
S3,quadgrams,HYBRID_3_5,temporal_projection,constraint_aligned,1,3
S3,quadgrams,HYBRID_3_5,truth,constraint_aligned,4,8
S3,quadgrams,HYBRID_3_5,warning,cross_cutting,4,11
S3,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,2,4
S3,quadgrams,HYBRID_SEMANTIC,conditions,cross_cutting,2,4
S3,quadgrams,HYBRID_SEMANTIC,hedging,cross_cutting,1,2
S3,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,10,22
S3,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,20,40
S3,quadgrams,HYBRID_SEMANTIC,surfacing,cross_cutting,5,11
S3,quadgrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,8,22
S3,quadgrams,HYBRID_SEMANTIC,warning,cross_cutting,2,4
S5,quadgrams,AC15,conditions,cross_cutting,1,2
S5,quadgrams,AC15,practical_considerations_and_execution,constraint_aligned,18,40
S5,quadgrams,AC15,surfacing,cross_cutting,6,12
S5,quadgrams,AC15,temporal_projection,constraint_aligned,10,26
S5,quadgrams,AC15,truth,constraint_aligned,17,37
S5,quadgrams,AC15,warning,cross_cutting,1,2
S5,quadgrams,AC15P,conditions,cross_cutting,4,8
S5,quadgrams,AC15P,hedging,cross_cutting,2,4
S5,quadgrams,AC15P,imagination_and_possibility,constraint_aligned,5,12
S5,quadgrams,AC15P,practical_considerations_and_execution,constraint_aligned,9,19
S5,quadgrams,AC15P,surfacing,cross_cutting,6,12
S5,quadgrams,AC15P,temporal_projection,constraint_aligned,15,37
S5,quadgrams,AC15P,truth,constraint_aligned,9,22
S5,quadgrams,CONTROL,autonomy_sovereignty,cross_cutting,1,2
S5,quadgrams,CONTROL,hedging,cross_cutting,4,8
S5,quadgrams,CONTROL,practical_considerations_and_execution,constraint_aligned,6,22
S5,quadgrams,CONTROL,surfacing,cross_cutting,3,6
S5,quadgrams,CONTROL,temporal_projection,constraint_aligned,3,6
S5,quadgrams,CONTROL,truth,constraint_aligned,6,12
S5,quadgrams,HYBRID_3_5,conditions,cross_cutting,1,2
S5,quadgrams,HYBRID_3_5,hedging,cross_cutting,10,21
S5,quadgrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,2,4
S5,quadgrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,4,12
S5,quadgrams,HYBRID_3_5,surfacing,cross_cutting,1,2
S5,quadgrams,HYBRID_3_5,temporal_projection,constraint_aligned,11,22
S5,quadgrams,HYBRID_3_5,truth,constraint_aligned,9,18
S5,quadgrams,HYBRID_3_5,warning,cross_cutting,1,2
S5,quadgrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,2,4
S5,quadgrams,HYBRID_SEMANTIC,conditions,cross_cutting,3,6
S5,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,2,4
S5,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,10,20
S5,quadgrams,HYBRID_SEMANTIC,smoothing,cross_cutting,1,2
S5,quadgrams,HYBRID_SEMANTIC,surfacing,cross_cutting,6,12
S5,quadgrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,6,14
S5,quadgrams,HYBRID_SEMANTIC,truth,constraint_aligned,14,30
S5,quadgrams,HYBRID_SEMANTIC,warning,cross_cutting,3,6
S7,quadgrams,AC15,autonomy_sovereignty,cross_cutting,1,2
S7,quadgrams,AC15,conditions,cross_cutting,2,4
S7,quadgrams,AC15,hedging,cross_cutting,5,10
S7,quadgrams,AC15,imagination_and_possibility,constraint_aligned,1,2
S7,quadgrams,AC15,practical_considerations_and_execution,constraint_aligned,14,28
S7,quadgrams,AC15,smoothing,cross_cutting,8,17
S7,quadgrams,AC15,surfacing,cross_cutting,1,2
S7,quadgrams,AC15,temporal_projection,constraint_aligned,9,19
S7,quadgrams,AC15,truth,constraint_aligned,2,4
S7,quadgrams,AC15,warning,cross_cutting,4,8
S7,quadgrams,AC15P,conditions,cross_cutting,5,12
S7,quadgrams,AC15P,hedging,cross_cutting,7,20
S7,quadgrams,AC15P,imagination_and_possibility,constraint_aligned,2,4
S7,quadgrams,AC15P,practical_considerations_and_execution,constraint_aligned,12,27
S7,quadgrams,AC15P,surfacing,cross_cutting,5,10
S7,quadgrams,AC15P,temporal_projection,constraint_aligned,11,23
S7,quadgrams,AC15P,truth,constraint_aligned,2,4
S7,quadgrams,AC15P,warning,cross_cutting,1,2
S7,quadgrams,CONTROL,autonomy_sovereignty,cross_cutting,1,2
S7,quadgrams,CONTROL,conditions,cross_cutting,3,6
S7,quadgrams,CONTROL,hedging,cross_cutting,5,10
S7,quadgrams,CONTROL,practical_considerations_and_execution,constraint_aligned,6,12
S7,quadgrams,CONTROL,surfacing,cross_cutting,5,11
S7,quadgrams,CONTROL,temporal_projection,constraint_aligned,6,12
S7,quadgrams,CONTROL,warning,cross_cutting,1,2
S7,quadgrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,2,4
S7,quadgrams,HYBRID_3_5,hedging,cross_cutting,8,24
S7,quadgrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,4,8
S7,quadgrams,HYBRID_3_5,surfacing,cross_cutting,3,6
S7,quadgrams,HYBRID_3_5,temporal_projection,constraint_aligned,6,12
S7,quadgrams,HYBRID_3_5,truth,constraint_aligned,1,2
S7,quadgrams,HYBRID_3_5,warning,cross_cutting,7,14
S7,quadgrams,HYBRID_SEMANTIC,conditions,cross_cutting,11,23
S7,quadgrams,HYBRID_SEMANTIC,hedging,cross_cutting,1,8
S7,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,5,10
S7,quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,12,24
S7,quadgrams,HYBRID_SEMANTIC,surfacing,cross_cutting,7,14
S7,quadgrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,4,8
S7,quadgrams,HYBRID_SEMANTIC,truth,constraint_aligned,5,10
S7,quadgrams,HYBRID_SEMANTIC,warning,cross_cutting,2,4
