scenario,level,system,expression_group,expression_group_layer,expression_subgroup,ngram,count,matched_constraints,constraint_hit_count,scenario_heavy
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,and operating cost,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,avoidable schedule risk,2,practicality_and_feasibility,2,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,budgets are separate,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,cloud subscription costs,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,cost continuity controls,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,under your constraints,3,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,week award constraint,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,time_horizons,week award window,3,temporal_dynamics,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,time_horizons,get trapped later,2,,0,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,time_horizons,their early data,2,truth_and_fact,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,time_horizons,window novagrid also,2,temporal_dynamics,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,plans controller configs,3,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,t delay start,3,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,before full rollout,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,build out that,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,comms planning controller,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,configs plans logs,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,construction event plan,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,of configs plans,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,plans logs documented,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,plans time of,2,,0,False
S1,trigrams,AC15P,truth,constraint_aligned,verification,full export documented,2,,0,False
S1,trigrams,AC15P,truth,constraint_aligned,verification,logs documented interfaces,2,,0,False
S1,trigrams,AC15P,truth,constraint_aligned,verification,management and audit,2,,0,False
S1,trigrams,AC15P,truth,constraint_aligned,verification,plans logs documented,2,,0,False
S1,trigrams,AC15P,truth,constraint_aligned,verification,procurement legal confirm,2,truth_and_fact,1,False
S1,trigrams,AC15P,warning,cross_cutting,main,a risk managed,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,warning,cross_cutting,main,avoidable schedule risk,2,practicality_and_feasibility,2,False
S1,trigrams,AC15P,warning,cross_cutting,main,flexibility exit risk,2,imagination_and_possibility;practicality_and_feasibility,2,False
S1,trigrams,AC15P,warning,cross_cutting,main,risk stack for,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,warning,cross_cutting,main,risk vendor responsiveness,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,warning,cross_cutting,main,schedule risk regardless,2,practicality_and_feasibility,2,False
S1,trigrams,AC15P,warning,cross_cutting,main,schedule risk we,2,practicality_and_feasibility,2,False
S1,trigrams,AC15P,warning,cross_cutting,main,the overall risk,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,friction essential infrastructure,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,waiver friction essential,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,surfacing,cross_cutting,friction_exposed,friction essential infrastructure,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,surfacing,cross_cutting,friction_exposed,waiver friction essential,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,change_and_rate,access transition assistance,2,temporal_dynamics,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,change_and_rate,fees transition assistance,2,temporal_dynamics,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,change_and_rate,punitive fees transition,2,temporal_dynamics,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,decay_and_currency,and increase lifecycle,2,temporal_dynamics,1,False
S1,trigrams,AC15P,truth,constraint_aligned,uncertainty_marking,novagrid gating uncertainty,2,truth_and_fact,1,False
S1,trigrams,AC15P,imagination_and_possibility,constraint_aligned,exploration_within_bounds,possible iteration it,2,imagination_and_possibility,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,robustness_and_resilience,resilience acceptance tests,2,temporal_dynamics,1,False
S1,trigrams,AC15P,surfacing,cross_cutting,hard_limit_refusal,as non negotiable,2,,0,False
S1,trigrams,AC15P,surfacing,cross_cutting,hard_limit_refusal,non negotiable reliability,2,,0,False
S1,trigrams,AC15P,conditions,cross_cutting,main,unless you cap,2,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,how it could,6,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,it could bite,6,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,could bite you,4,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,time that could,3,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,could bite year,2,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,could change the,2,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,modular tends to,2,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,tends to win,2,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,long term o,4,temporal_dynamics,1,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,documentation delivered early,3,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,delivered early milestone,2,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,early milestone based,2,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,long term leverage,2,temporal_dynamics,1,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,long term risk,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,plan with early,2,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,m cost predictability,4,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,o m cost,4,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,as budgets tighten,2,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,incident rca timelines,2,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,revised schedule that,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,schedule that still,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,surfacing,cross_cutting,confrontation,services isn t,4,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,a staged rollout,3,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,as built documentation,3,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,staged rollout plan,3,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,delay start assumption,2,truth_and_fact,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,plan with early,2,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,rollout plan with,2,,0,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,stated rollout months,2,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,change_and_rate,a staged rollout,3,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,change_and_rate,staged rollout plan,3,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,change_and_rate,shifts the decision,2,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,change_and_rate,shifts toward the,2,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,past_present_future,compete future components,3,temporal_dynamics,1,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,past_present_future,to compete future,3,temporal_dynamics,1,False
S1,trigrams,CONTROL,truth,constraint_aligned,verification,export test as,3,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,robustness_and_resilience,preserve exit leverage,3,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,robustness_and_resilience,reliability safety resilience,2,temporal_dynamics,1,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,robustness_and_resilience,to preserve exit,2,,0,False
S1,trigrams,CONTROL,conditions,cross_cutting,main,recommendation unless novagrid,3,,0,False
S1,trigrams,CONTROL,conditions,cross_cutting,main,now depends on,2,,0,False
S1,trigrams,CONTROL,warning,cross_cutting,main,and escalation risk,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,warning,cross_cutting,main,approval risk that,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,warning,cross_cutting,main,essential infrastructure risk,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,warning,cross_cutting,main,governance risk architecture,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,warning,cross_cutting,main,long term risk,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,CONTROL,warning,cross_cutting,main,risk while meeting,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,constraints dot it,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,exception path practical,2,practicality_and_feasibility,1,False
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,services incident adaptive,2,temporal_dynamics,1,False
S1,trigrams,CONTROL,truth,constraint_aligned,uncertainty_marking,review uncertain outcome,2,truth_and_fact,1,False
S1,trigrams,CONTROL,truth,constraint_aligned,uncertainty_marking,week review uncertain,2,truth_and_fact,1,False
S1,trigrams,CONTROL,hedging,cross_cutting,multi_word_patterns,modular tends to,2,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,multi_word_patterns,tends to win,2,,0,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,change_and_rate,transition assistance rates,5,temporal_dynamics,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,change_and_rate,data export transition,3,temporal_dynamics;truth_and_fact,2,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,change_and_rate,pre priced transition,3,temporal_dynamics,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,change_and_rate,export transition assistance,2,temporal_dynamics,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,operating cost stability,4,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,and budget stability,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,annual cloud cost,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,controls timeline fee,2,practicality_and_feasibility;temporal_dynamics,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,cost stability and,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,cost stability civitas,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,costs while still,2,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,effect tighter budgets,2,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,lifecycle cost stability,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,local fallback modes,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,robustness_and_resilience,operating cost stability,4,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,robustness_and_resilience,and budget stability,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,robustness_and_resilience,cost stability and,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,robustness_and_resilience,cost stability civitas,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,robustness_and_resilience,lifecycle cost stability,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,robustness_and_resilience,lock in resilience,2,temporal_dynamics,1,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,confrontation,isn t hostage,4,,0,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,confrontation,exit isn t,3,,0,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,confrontation,minor goes wrong,2,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,plans config logs,3,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,timing plans config,3,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,evp incident plans,2,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,faster nominal rollout,2,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,incident plans integrations,2,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,plan delivered early,2,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,spares plan delivered,2,,0,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,main,and narrative risk,3,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,main,at risk due,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,main,narrative risk even,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,main,risk and narrative,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,main,risk dot preference,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,warning,cross_cutting,main,the two risks,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,decay_and_currency,lifecycle cost stability,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,time_horizons,less long horizon,2,,0,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,time_horizons,long horizon evidence,2,truth_and_fact,1,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,time_horizons,plan delivered early,2,,0,False
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,time_horizons,price lock early,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,added integration testing,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,documented formats include,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,documented formats sample,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,escalation stress test,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,exportable in documented,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,integration testing complexity,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,interface access documented,2,,0,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,long horizon evidence,2,truth_and_fact,1,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,models multi source,2,truth_and_fact,1,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,multi source availability,2,truth_and_fact,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,approval friction and,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,friction_exposed,approval friction and,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,friction_exposed,hard contract terms,2,,0,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,if technically feasible,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,the main constraint,2,practicality_and_feasibility,1,False
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,uncertainty_marking,the most uncertain,2,truth_and_fact,1,False
S1,trigrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,exploration_within_bounds,waivers are possible,2,imagination_and_possibility,1,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,hard_limit_refusal,a non negotiable,2,,0,False
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,single_word_markers,council defensible choice,2,,0,False
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,single_word_markers,defensible choice if,2,,0,False
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,single_word_markers,the modular choice,2,,0,False
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,tension_exposure,the conflicting inputs,2,,0,False
S1,trigrams,HYBRID_3_5,conditions,cross_cutting,main,unless novagrid s,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,to ask verify,9,truth_and_fact,1,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,acceptance tested time,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,and acceptance tested,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,and less evidence,2,truth_and_fact,1,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,ask verify documented,2,truth_and_fact,1,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,audit trail degraded,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,documented formats exit,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,documented formats priced,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,pressure test require,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,verification,rollback audit trail,2,,0,False
S1,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,confrontation,s clearly wrong,5,,0,False
S1,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,confrontation,clearly wrong you,3,,0,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,time_horizons,early maintenance reduction,4,,0,False
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,time_horizons,a later phase,2,temporal_dynamics,1,False
