scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_3_5,and long term compromise,2,4,68,15205,0.000132,1,HYBRID_3_5,2,3,0.75,,False,temporal_dynamics,1,long term,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_3_5,biggest structural risk if,2,4,81,15205,0.000132,1,HYBRID_3_5,2,3,0.75,,False,practicality_and_feasibility,1,risk,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_3_5,obligations and money boundaries,2,4,183,15205,0.000132,1,HYBRID_3_5,2,3,0.75,,False,imagination_and_possibility,1,boundaries,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_3_5,risk if i have,2,4,202,15205,0.000132,1,HYBRID_3_5,2,3,0.75,,False,practicality_and_feasibility,1,risk,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_3_5,structural risk if i,2,4,220,15205,0.000132,1,HYBRID_3_5,2,3,0.75,,False,practicality_and_feasibility,1,risk,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_3_5,to fake over time,2,4,240,15205,0.000132,1,HYBRID_3_5,2,3,0.75,,False,temporal_dynamics,1,over time,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_3_5,your biggest structural risk,2,4,294,15205,0.000132,1,HYBRID_3_5,2,3,0.75,,False,practicality_and_feasibility,1,risk,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_3_5,at higher risk of,2,4,76,15205,0.000132,1,HYBRID_3_5,2,2,0.5,,False,practicality_and_feasibility,1,risk,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_3_5,re at higher risk,2,4,197,15205,0.000132,1,HYBRID_3_5,2,2,0.5,,False,practicality_and_feasibility,1,risk,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_3_5,your main risk is,2,4,296,15205,0.000132,1,HYBRID_3_5,2,2,0.5,,False,practicality_and_feasibility,1,risk,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,home base option until,2,4,163,15662,0.000128,1,HYBRID_SEMANTIC,2,4,1.0,,False,imagination_and_possibility,1,option,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,timeline money family expectations,2,4,288,15662,0.000128,1,HYBRID_SEMANTIC,2,4,1.0,,False,practicality_and_feasibility;temporal_dynamics,1,timeline,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,willingness limits marriage timeline,2,4,329,15662,0.000128,1,HYBRID_SEMANTIC,2,4,1.0,,False,practicality_and_feasibility;temporal_dynamics,1,timeline,marriage,1,0.25,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,answer isn t proof,2,4,90,15662,0.000128,1,HYBRID_SEMANTIC,2,3,0.75,,False,truth_and_fact,1,proof,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,imagine our plan is,2,4,188,15662,0.000128,1,HYBRID_SEMANTIC,2,3,0.75,,False,imagination_and_possibility,1,imagine,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,to generate real evidence,2,4,291,15662,0.000128,1,HYBRID_SEMANTIC,2,3,0.75,,False,truth_and_fact,1,evidence,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,you imagine our plan,2,4,353,15662,0.000128,1,HYBRID_SEMANTIC,2,3,0.75,,False,imagination_and_possibility,1,imagine,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,boundaries would you want,2,4,102,15662,0.000128,1,HYBRID_SEMANTIC,2,2,0.5,,False,imagination_and_possibility,1,boundaries,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,is a rare opportunity,2,4,194,15662,0.000128,1,HYBRID_SEMANTIC,2,2,0.5,,False,imagination_and_possibility,1,opportunity,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,isn t proof of,2,4,197,15662,0.000128,1,HYBRID_SEMANTIC,2,2,0.5,,False,truth_and_fact,1,proof,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,timeline for you moving,2,4,287,15662,0.000128,1,HYBRID_SEMANTIC,2,2,0.5,,False,practicality_and_feasibility;temporal_dynamics,1,timeline,,0,0.0,False
S7,Scenario 7 - Quadgrams,quadgrams,HYBRID_SEMANTIC,your risk checks a,2,4,364,15662,0.000128,1,HYBRID_SEMANTIC,2,2,0.5,,False,practicality_and_feasibility,1,risk,,0,0.0,False
