scenario,level,system,first_class_group,ngram,count,matched_terms
S1,trigrams,AC15,practical_considerations_and_execution.action_and_execution,slower rollout months,2,rollout
S1,trigrams,AC15,practical_considerations_and_execution.action_and_execution,running safe plans,2,plans
S1,trigrams,AC15,practical_considerations_and_execution.action_and_execution,timing plans configurations,2,plans
S1,trigrams,AC15,practical_considerations_and_execution.action_and_execution,plans configurations logs,2,plans
S1,trigrams,AC15,practical_considerations_and_execution.action_and_execution,before broad rollout,2,rollout
S1,trigrams,AC15,practical_considerations_and_execution.action_and_execution,start and compress,2,start
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,plans controller configs,3,plans
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,t delay start,3,start
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,plans time of,2,plans
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,construction event plan,2,plan
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,comms planning controller,2,planning
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,start without delay,2,start
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,start immediately with,2,start
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,build out that,2,build
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,rollout beyond months,2,rollout
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,before full rollout,2,rollout
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,timing plans config,3,plans
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,plans config logs,3,plans
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,faster nominal rollout,2,rollout
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,evp incident plans,2,plans
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,incident plans integrations,2,plans
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,spares plan delivered,2,plan
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.action_and_execution,plan delivered early,2,early|plan
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,implement detours overrides,3,implement
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,a phased rollout,3,phas|phased|rollout
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,plans logs and,3,plans
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,pilot phased rollout,2,phas|phased|pilot|rollout
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,phased rollout pilot,2,phas|phased|pilot|rollout
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,to implement detours,2,implement
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,rollout pilot corridor,2,pilot|rollout
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,timing plans databases,2,plans
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,plans databases logs,2,plans
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.action_and_execution,full scale rollout,2,rollout
S1,trigrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,services incident adaptive,2,adapt
S1,trigrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,exception path practical,2,practical
S1,trigrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,constraints dot it,2,constrain|constraints
S1,trigrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,opex is bounded,2,bounded
S1,trigrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,under your constraints,3,constrain|constraints
S1,trigrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,week award constraint,2,constrain|constraint
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,the main constraint,2,constrain|constraint
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.constraints_and_tradeoffs,if technically feasible,2,feasible
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,viable alternative only,2,alternative|viable|viable alternative
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,constrained contractually novagrid,2,constrain|constrained
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,incident adaptive features,2,adapt
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,cpi bound or,2,bound
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,bound or fixed,2,bound
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.constraints_and_tradeoffs,written time bounded,2,bounded
S1,trigrams,AC15,practical_considerations_and_execution.friction_and_blockers,fewest external blockers,2,blockers
S1,trigrams,AC15,practical_considerations_and_execution.friction_and_blockers,external blockers civitas,2,blockers
S1,trigrams,AC15,practical_considerations_and_execution.friction_and_blockers,supply chain fragility,2,fragility
S1,trigrams,AC15P,practical_considerations_and_execution.friction_and_blockers,waiver friction essential,2,friction
S1,trigrams,AC15P,practical_considerations_and_execution.friction_and_blockers,friction essential infrastructure,2,friction
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.friction_and_blockers,approval friction and,2,friction
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.friction_and_blockers,certainty approval friction,2,friction
S1,trigrams,CONTROL,practical_considerations_and_execution.resources_timing_conditions,o m cost,4,cost
S1,trigrams,CONTROL,practical_considerations_and_execution.resources_timing_conditions,m cost predictability,4,cost
S1,trigrams,CONTROL,practical_considerations_and_execution.resources_timing_conditions,revised schedule that,2,schedule
S1,trigrams,CONTROL,practical_considerations_and_execution.resources_timing_conditions,schedule that still,2,schedule
S1,trigrams,CONTROL,practical_considerations_and_execution.resources_timing_conditions,as budgets tighten,2,budgets
S1,trigrams,CONTROL,practical_considerations_and_execution.resources_timing_conditions,incident rca timelines,2,timelines
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,timeline and required,3,timeline
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,long term dependency,2,dependency|long term
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,high switching cost,2,cost
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,cost reduction vs,2,cost
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,central cloud dependency,2,dependency
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,schedule if novagrid,2,schedule
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,timelines transition assistance,2,timelines|transit|transition
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,cost to maintain,2,cost
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,schedule exhibit with,2,schedule
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,high switching costs,2,costs
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,schedule slip or,3,schedule
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,total operating cost,3,cost
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,failure council budget,3,budget
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,schedule risk regardless,2,risk|schedule
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,cost continuity controls,2,cost
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,schedule risk we,2,risk|schedule
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,avoidable schedule risk,2,risk|schedule
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,operating cost controls,2,cost
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,governance and schedule,2,schedule
S1,trigrams,AC15P,practical_considerations_and_execution.resources_timing_conditions,and operating cost,2,cost
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,operating cost stability,4,cost|stability
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,lifecycle cost stability,2,cost|lifecycle|stability
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,local fallback modes,2,fallback
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,controls timeline fee,2,timeline
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,annual cloud cost,2,cost
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,and budget stability,2,budget|stability
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,required controls timeline,2,timeline
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,s tighter budget,2,budget
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,cost stability and,2,cost|stability
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution.resources_timing_conditions,real schedule critical,2,schedule
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,year cost exposure,3,cost
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,cost exposure operational,2,cost
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,schedule protections milestone,2,schedule
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,year cost model,2,cost
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,cost view and,2,cost
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,failover adding cost,2,cost
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,adding cost time,2,cost
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,for budget chair,2,budget
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,real schedule threat,2,schedule|threat
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution.resources_timing_conditions,schedule threat modular,2,schedule|threat
S1,trigrams,AC15P,temporal_projection.decay_and_currency,and increase lifecycle,2,lifecycle
S1,trigrams,HYBRID_3_5,temporal_projection.decay_and_currency,lifecycle cost stability,2,cost|lifecycle|stability
S1,trigrams,CONTROL,temporal_projection.time_horizons,long term o,4,long term
S1,trigrams,CONTROL,temporal_projection.time_horizons,documentation delivered early,3,early
S1,trigrams,CONTROL,temporal_projection.time_horizons,long term risk,2,long term|risk
S1,trigrams,CONTROL,temporal_projection.time_horizons,long term leverage,2,long term
S1,trigrams,CONTROL,temporal_projection.time_horizons,delivered early milestone,2,early
S1,trigrams,CONTROL,temporal_projection.time_horizons,early milestone based,2,early
S1,trigrams,CONTROL,temporal_projection.time_horizons,plan with early,2,early|plan
S1,trigrams,AC15,temporal_projection.time_horizons,near term opex,5,near term
S1,trigrams,AC15,temporal_projection.time_horizons,long term dependency,2,dependency|long term
S1,trigrams,AC15,temporal_projection.time_horizons,better near term,2,near term
S1,trigrams,AC15,temporal_projection.time_horizons,window a treat,2,window
S1,trigrams,AC15,temporal_projection.time_horizons,reduces near term,2,near term
S1,trigrams,AC15,temporal_projection.time_horizons,predictable near term,2,near term
S1,trigrams,AC15,temporal_projection.time_horizons,month support horizon,2,horizon
S1,trigrams,AC15,temporal_projection.time_horizons,support horizon with,2,horizon
S1,trigrams,AC15P,temporal_projection.time_horizons,week award window,3,window
S1,trigrams,AC15P,temporal_projection.time_horizons,their early data,2,early
S1,trigrams,AC15P,temporal_projection.time_horizons,window novagrid also,2,window
S1,trigrams,AC15P,temporal_projection.time_horizons,get trapped later,2,later
S1,trigrams,HYBRID_3_5,temporal_projection.time_horizons,long horizon evidence,2,evidence|horizon
S1,trigrams,HYBRID_3_5,temporal_projection.time_horizons,price lock early,2,early
S1,trigrams,HYBRID_3_5,temporal_projection.time_horizons,less long horizon,2,horizon
S1,trigrams,HYBRID_3_5,temporal_projection.time_horizons,plan delivered early,2,early|plan
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,early maintenance reduction,4,early
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,a later phase,2,later|phas|phase
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,now not later,2,later
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,lock in early,2,early
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,delivered early a,2,early
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,early delivery of,2,early
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.time_horizons,accountability and early,2,early
S1,trigrams,CONTROL,temporal_projection.past_present_future,to compete future,3,future
S1,trigrams,CONTROL,temporal_projection.past_present_future,compete future components,3,future
S1,trigrams,AC15,temporal_projection.past_present_future,venture backed trajectory,2,trajectory
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.past_present_future,future lock in,3,future
S1,trigrams,CONTROL,temporal_projection.change_and_rate,a staged rollout,3,rollout|staged
S1,trigrams,CONTROL,temporal_projection.change_and_rate,staged rollout plan,3,plan|rollout|staged
S1,trigrams,CONTROL,temporal_projection.change_and_rate,shifts toward the,2,shifts
S1,trigrams,CONTROL,temporal_projection.change_and_rate,shifts the decision,2,shifts
S1,trigrams,AC15,temporal_projection.change_and_rate,config portability transition,4,transit|transition
S1,trigrams,AC15,temporal_projection.change_and_rate,timelines transition assistance,2,timelines|transit|transition
S1,trigrams,AC15,temporal_projection.change_and_rate,a phased notice,2,phas|phased
S1,trigrams,AC15,temporal_projection.change_and_rate,phased notice to,2,phas|phased
S1,trigrams,AC15,temporal_projection.change_and_rate,a phased start,2,phas|phased|start
S1,trigrams,AC15,temporal_projection.change_and_rate,phased start and,2,phas|phased|start
S1,trigrams,AC15,temporal_projection.change_and_rate,documented formats transition,2,documented|transit|transition
S1,trigrams,AC15,temporal_projection.change_and_rate,transition assistance defined,2,transit|transition
S1,trigrams,AC15,temporal_projection.change_and_rate,shifts pricing changes,2,shifts
S1,trigrams,AC15,temporal_projection.change_and_rate,change control staged,2,staged
S1,trigrams,AC15P,temporal_projection.change_and_rate,access transition assistance,2,transit|transition
S1,trigrams,AC15P,temporal_projection.change_and_rate,punitive fees transition,2,transit|transition
S1,trigrams,AC15P,temporal_projection.change_and_rate,fees transition assistance,2,transit|transition
S1,trigrams,HYBRID_3_5,temporal_projection.change_and_rate,transition assistance rates,5,transit|transition
S1,trigrams,HYBRID_3_5,temporal_projection.change_and_rate,data export transition,3,transit|transition
S1,trigrams,HYBRID_3_5,temporal_projection.change_and_rate,pre priced transition,3,transit|transition
S1,trigrams,HYBRID_3_5,temporal_projection.change_and_rate,export transition assistance,2,transit|transition
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,exit and transition,3,transit|transition
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,a phased rollout,3,phas|phased|rollout
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,exposure operational maturity,2,maturity
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,pilot phased rollout,2,phas|phased|pilot|rollout
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,phased rollout pilot,2,phas|phased|pilot|rollout
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,a later phase,2,later|phas|phase
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,formats exit transition,2,transit|transition
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.change_and_rate,formats priced transition,2,transit|transition
S1,trigrams,CONTROL,temporal_projection.robustness_and_resilience,preserve exit leverage,3,preserve
S1,trigrams,CONTROL,temporal_projection.robustness_and_resilience,reliability safety resilience,2,resilience
S1,trigrams,CONTROL,temporal_projection.robustness_and_resilience,to preserve exit,2,preserve
S1,trigrams,AC15,temporal_projection.robustness_and_resilience,supply chain fragility,2,fragility
S1,trigrams,AC15,temporal_projection.robustness_and_resilience,to preserve leverage,2,preserve
S1,trigrams,AC15P,temporal_projection.robustness_and_resilience,resilience acceptance tests,2,resilience
S1,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,operating cost stability,4,cost|stability
S1,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,lifecycle cost stability,2,cost|lifecycle|stability
S1,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,lock in resilience,2,resilience
S1,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,and budget stability,2,budget|stability
S1,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,cost stability and,2,cost|stability
S1,trigrams,HYBRID_3_5,temporal_projection.robustness_and_resilience,cost stability civitas,2,cost|stability
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.robustness_and_resilience,stable cutover before,2,stable
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.robustness_and_resilience,stability and incident,2,stability
S1,trigrams,HYBRID_SEMANTIC,temporal_projection.robustness_and_resilience,corridor prove stability,2,stability
S1,trigrams,AC15P,imagination_and_possibility.exploration_within_bounds,possible iteration it,2,possibl|possible
S1,trigrams,HYBRID_3_5,imagination_and_possibility.exploration_within_bounds,waivers are possible,2,possibl|possible
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.exploration_within_bounds,conditional alternative novagrid,2,alternative
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.exploration_within_bounds,viable alternative only,2,alternative|viable|viable alternative
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,pilot phased rollout,2,phas|phased|pilot|rollout
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,phased rollout pilot,2,phas|phased|pilot|rollout
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,viable alternative only,2,alternative|viable|viable alternative
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,pilot corridor with,2,pilot
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,pilot corridor prove,2,pilot
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,rollout pilot corridor,2,pilot|rollout
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility.path_toward_feasibility,pilot corridor first,2,pilot
S1,trigrams,AC15,surfacing.friction_exposed,fewest external blockers,2,blockers
S1,trigrams,AC15,surfacing.friction_exposed,external blockers civitas,2,blockers
S1,trigrams,AC15P,surfacing.friction_exposed,waiver friction essential,2,friction
S1,trigrams,AC15P,surfacing.friction_exposed,friction essential infrastructure,2,friction
S1,trigrams,HYBRID_3_5,surfacing.friction_exposed,approval friction and,2,friction
S1,trigrams,HYBRID_3_5,surfacing.friction_exposed,hard contract terms,2,hard
S1,trigrams,HYBRID_SEMANTIC,surfacing.friction_exposed,certainty approval friction,2,friction
S1,trigrams,AC15P,surfacing.hard_limit_refusal,non negotiable reliability,2,non negotiable
S1,trigrams,AC15P,surfacing.hard_limit_refusal,as non negotiable,2,non negotiable
S1,trigrams,HYBRID_3_5,surfacing.hard_limit_refusal,contract non negotiables,2,non negotiable
S1,trigrams,HYBRID_3_5,surfacing.hard_limit_refusal,a non negotiable,2,non negotiable
S1,trigrams,HYBRID_SEMANTIC,surfacing.hard_limit_refusal,civitas cannot meet,2,cannot
S1,trigrams,CONTROL,surfacing.confrontation,services isn t,4,isn t
S1,trigrams,AC15,surfacing.confrontation,make us wrong,6,wrong
S1,trigrams,AC15,surfacing.confrontation,permissible and doesn,2,doesn
S1,trigrams,AC15,surfacing.confrontation,the contract doesn,2,doesn
S1,trigrams,AC15,surfacing.confrontation,contract doesn t,2,doesn|doesn t
S1,trigrams,AC15,surfacing.confrontation,doesn t allow,2,doesn|doesn t
S1,trigrams,HYBRID_3_5,surfacing.confrontation,isn t hostage,4,isn t
S1,trigrams,HYBRID_3_5,surfacing.confrontation,exit isn t,3,isn t
S1,trigrams,HYBRID_3_5,surfacing.confrontation,minor goes wrong,2,wrong
S1,trigrams,HYBRID_SEMANTIC,surfacing.confrontation,s clearly wrong,5,wrong
S1,trigrams,HYBRID_SEMANTIC,surfacing.confrontation,clearly wrong you,3,wrong
S1,trigrams,HYBRID_3_5,surfacing.tension_exposure,the conflicting inputs,2,conflicting
S1,trigrams,CONTROL,hedging,how it could,6,could
S1,trigrams,CONTROL,hedging,it could bite,6,could
S1,trigrams,CONTROL,hedging,could bite you,4,could
S1,trigrams,CONTROL,hedging,time that could,3,could
S1,trigrams,CONTROL,hedging,modular tends to,2,tends|tends to
S1,trigrams,CONTROL,hedging,tends to win,2,tends|tends to
S1,trigrams,CONTROL,hedging,could change the,2,could
S1,trigrams,CONTROL,hedging,could bite year,2,could
S1,trigrams,CONTROL,hedging,interface api documentation,2,i d
S1,trigrams,AC15,hedging,appears to best,2,appears|appears to
S1,trigrams,AC15,hedging,standard controllers typically,2,typically
S1,trigrams,AC15,hedging,controllers typically mean,2,typically
S1,trigrams,AC15,hedging,likely stronger in,2,likely
S1,trigrams,AC15P,hedging,may be underestimated,7,may
S1,trigrams,AC15P,hedging,short novagrid may,2,may
S1,trigrams,HYBRID_3_5,hedging,api documentation access,2,i d
S1,trigrams,HYBRID_SEMANTIC,hedging,appearing to pick,2,appearing
S1,trigrams,CONTROL,warning,long term risk,2,long term|risk
S1,trigrams,CONTROL,warning,risk while meeting,2,risk
S1,trigrams,CONTROL,warning,approval risk that,2,risk
S1,trigrams,CONTROL,warning,and escalation risk,2,risk
S1,trigrams,CONTROL,warning,essential infrastructure risk,2,risk
S1,trigrams,CONTROL,warning,governance risk architecture,2,risk
S1,trigrams,AC15,warning,risk while keeping,2,risk
S1,trigrams,AC15,warning,costs blow up,2,blow up|costs
S1,trigrams,AC15P,warning,schedule risk regardless,2,risk|schedule
S1,trigrams,AC15P,warning,flexibility exit risk,2,risk
S1,trigrams,AC15P,warning,schedule risk we,2,risk|schedule
S1,trigrams,AC15P,warning,avoidable schedule risk,2,risk|schedule
S1,trigrams,AC15P,warning,risk vendor responsiveness,2,risk
S1,trigrams,AC15P,warning,a risk managed,2,risk
S1,trigrams,AC15P,warning,the overall risk,2,risk
S1,trigrams,AC15P,warning,risk stack for,2,risk
S1,trigrams,HYBRID_3_5,warning,and narrative risk,3,risk
S1,trigrams,HYBRID_3_5,warning,the two risks,2,risks
S1,trigrams,HYBRID_3_5,warning,risk dot preference,2,risk
S1,trigrams,HYBRID_3_5,warning,risk and narrative,2,risk
S1,trigrams,HYBRID_3_5,warning,narrative risk even,2,risk
S1,trigrams,HYBRID_3_5,warning,at risk due,2,risk
S1,trigrams,HYBRID_SEMANTIC,warning,and continuity risks,2,risks
S1,trigrams,HYBRID_SEMANTIC,warning,continuity risks and,2,risks
S1,trigrams,HYBRID_SEMANTIC,warning,chain risk than,2,risk
S1,trigrams,HYBRID_SEMANTIC,warning,real schedule threat,2,schedule|threat
S1,trigrams,HYBRID_SEMANTIC,warning,schedule threat modular,2,schedule|threat
S1,trigrams,CONTROL,conditions,recommendation unless novagrid,3,unless
S1,trigrams,CONTROL,conditions,now depends on,2,depends|depends on
S1,trigrams,AC15,conditions,contingent on passing,2,contingen|contingent|contingent on
S1,trigrams,AC15P,conditions,unless you cap,2,unless
S1,trigrams,HYBRID_3_5,conditions,unless novagrid s,2,unless
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,defensible choice if,2,choice
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,the modular choice,2,choice
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,council defensible choice,2,choice
S1,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,reasons to choose,2,choose
S3,trigrams,CONTROL,truth.verification,check whether it,2,check|whether
S3,trigrams,AC15,truth.verification,shielding prototype validated,2,prototype|validat|validated
S3,trigrams,AC15,truth.verification,prototype validated evt,2,prototype|validat|validated
